1000,COMMON ACTIVITIES,ADVICE,Advice - significant,Records relating to significant high-level advice provided or received by the agency on substantial aspects of agency functions!! responsibilities!! obligations and liabilities.  Significant advice may include!! but is not limited to: * having far-reaching social!! economic and/or national implications * result in a reversal of a government decision and/or changes to government/agency policy * generates substantial public interest and debate.  Includes formal briefings provided to Mayors!! Councillors and senior agency officials!! e.g. Director-General. Records may include!! but are not limited to: * briefing notes * development of advice * advice to other agencies.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1001,COMMON ACTIVITIES,ADVICE,Advice - other,Records relating to advice provided or received by the agency that relates to the functions of the agency that is not considered to be significant. Includes provision of advice on legislation formulated by other agencies. Records may include!! but are not limited to: * briefing notes * advice to and from other agencies.,7 years after business action completed.,2016-09-01
1002,COMMON ACTIVITIES,AGREEMENTS,Agreements and contracts - significant,Records relating to agreements and contracts!! including joint ventures and public-private partnerships!! which are of major significance to the agency and the State or which have created major public interest or controversy.  Includes significant agreements that do not proceed. Significant agreements and contracts may include!! but are not limited to: * all agreements and contracts with the Commonwealth or other States (e.g. national partnership agreements) that have State significance * large scale projects or programs requiring Ministerial approval * transfer of government or agency responsibilities!! functions!! obligations or liabilities (e.g. machinery-of-government changes) * major liabilities or obligations for the agency * sale!! outsourcing or long-term leasing of government functions * Aboriginal and Torres Strait Islander rights (e.g. Indigenous land use agreements) * claims or matters that are precedent setting * significant industrial and workplace agreements!! awards and enterprise bargaining. Records may include!! but are not limited to: * contract negotiations * drafts containing significant changes/alterations or formally circulated for comment * final!! approved versions of agreements * service level agreements * lease agreements * reviews of agreements * correspondence with stakeholders * responding to tenders.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1003,COMMON ACTIVITIES,AGREEMENTS,Agreements and contracts - under seal,Records relating to agreements and contracts which have been approved under seal (speciality contracts).  Excludes significant agreements. Records may include!! but are not limited to: * contract negotiations * drafts containing significant changes/alterations or formally circulated for comment * final!! approved versions of agreements!! memoranda of understanding and/or memoranda of agreement * reviews of agreements * correspondence with stakeholders * responding to tenders.,12 years after the expiry or termination of the agreement or contract. ,2016-09-01
1004,COMMON ACTIVITIES,AGREEMENTS,Agreements and contracts - not under seal,Records relating to agreements and contracts which are approved and are not under seal.  Includes joint venture projects!! superannuation trustee agreements!! insurance policies!! service level agreements!! lease agreements and intellectual property licences. Records may include!! but are not limited to: * contract negotiations * drafts containing significant changes/alterations or formally circulated for comment * final!! approved versions of agreements!! memoranda of understanding and/or memoranda of agreement * reviews of agreements * correspondence with stakeholders * responding to tenders * the purchase order * any specifications.,7 years after the expiry or termination of the agreement or contract.,2016-09-01
1005,COMMON ACTIVITIES,AGREEMENTS,Agreements and contracts not proceeded with,Records relating to agreements and contracts that have not been successfully negotiated and approved.  Excludes significant agreements that do not proceed. Records may include!! but are not limited to: * draft agreements * draft memorandum of understanding * draft negotiation papers * withdrawn offers * proposals.,2 years after business action completed.,2016-09-01
1006,COMMON ACTIVITIES,AGREEMENTS,Agreements and contracts register,Entries in the agreements and/or contracts register.,12 years after the expiry or termination of the agreement or contract.,2016-09-01
1007,COMMON ACTIVITIES,AUDIT,Audits - significant,Records relating to significant audits which cross functions!! examine core functions or measure agency performance or compliance at a strategic level!! and which:  * involve contentious or litigious matters and/or set a precedent  * lead to a major change in policies * involve major public interest or controversy * are presented to Parliament. Records may include!! but are not limited to: * draft versions of audit reports containing significant changes/alterations or formally circulated for comment * final!! approved versions of audit reports * records of remedial action * planning and conduct of audits.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1008,COMMON ACTIVITIES,AUDIT,Audits - other,Records relating to audits which are not significant. Records may include!! but are not limited to: * draft versions of audit reports containing significant changes/alterations or formally circulated for comment * final!! approved versions of audit reports * records of remedial action * planning and conduct of audits.,7 years after business action completed.,2016-09-01
1010,COMMON ACTIVITIES,AUTHORISATIONS,Delegations - Chief Executive Officers and statutory office holders,Records relating to delegations of authority issued: * by a Minister as described in the Queensland Ministerial Handbook-Governing Queensland where the records of delegation are managed by the department * to a Chief Executive Officer (or equivalent) * to a statutory office holder. Includes financial delegations and international travel authorisations. Records may include!! but are not limited to: * authorisations * delegation conditions * delegations register * instrument of delegations.,Permanent. Transfer to QSA after business action completed.,2016-09-01
1011,COMMON ACTIVITIES,AUTHORISATIONS,Delegations - other staff,Records relating to delegations of authority issued to all other agency staff. Includes financial delegations. Records may include!! but are not limited to: * authorisations * delegation conditions * delegations register * instrument of delegations.,7 years after authorisation ceases.,2016-09-01
